entry_id,product_id,change_quantity,change_type,entry_date
108,68,99,Restock,2025-03-08
109,53,-3,Sale,2025-02-23
110,18,74,Restock,2025-03-17
111,105,-15,Sale,2024-11-02
112,167,61,Restock,2024-10-06
113,197,34,Restock,2025-04-04
114,122,20,Restock,2025-03-14
115,113,72,Restock,2025-03-03
116,33,-26,Sale,2025-02-05
117,87,49,Restock,2024-09-25
118,128,98,Restock,2024-09-25
119,158,34,Restock,2025-04-04
120,91,-27,Sale,2024-08-01
121,111,83,Restock,2024-10-28
122,184,29,Restock,2024-09-16
123,14,23,Restock,2025-03-27
124,33,2,Restock,2024-08-16
125,103,-10,Sale,2024-05-22
126,33,18,Restock,2024-11-13
127,65,8,Restock,2025-05-14
128,5,-46,Sale,2024-11-28
129,43,-18,Sale,2024-08-17
130,36,-12,Sale,2024-09-14
131,54,16,Restock,2024-11-13
132,40,57,Restock,2024-07-19
133,12,30,Restock,2024-11-12
134,165,-6,Sale,2025-04-24
135,149,-22,Sale,2024-09-29
136,194,-2,Sale,2024-10-28
137,87,28,Restock,2024-07-28
138,130,70,Restock,2025-01-03
139,47,-38,Sale,2025-04-28
140,43,9,Restock,2025-04-23
141,186,98,Restock,2024-09-21
142,154,50,Restock,2025-02-20
143,192,3,Restock,2024-07-11
144,1,-1,Sale,2024-07-25
145,117,79,Restock,2025-02-09
146,11,90,Restock,2024-07-26
147,107,22,Restock,2024-12-29
148,124,78,Restock,2025-04-07
149,80,-44,Sale,2024-10-21
150,92,94,Restock,2025-02-14
151,120,-35,Sale,2024-07-14
152,134,42,Restock,2024-11-19
153,96,37,Restock,2024-10-03
154,123,56,Restock,2024-06-02
155,188,-9,Sale,2024-08-16
156,92,39,Restock,2024-12-18
157,159,-44,Sale,2024-06-15
158,49,45,Restock,2024-09-30
159,47,98,Restock,2024-09-02
160,148,42,Restock,2024-11-12
161,125,-3,Sale,2024-09-23
162,79,4,Restock,2024-12-27
163,187,-9,Sale,2024-07-19
164,181,11,Restock,2024-06-13
165,9,95,Restock,2025-03-01
166,126,69,Restock,2024-07-22
167,74,-39,Sale,2024-10-09
168,97,11,Restock,2024-11-11
169,114,0,Restock,2024-07-27
170,197,21,Restock,2025-01-21
171,137,100,Restock,2024-11-01
172,170,-24,Sale,2024-09-12
173,157,-25,Sale,2024-07-09
174,9,24,Restock,2025-04-09
175,107,-11,Sale,2024-10-21
176,15,16,Restock,2024-11-16
177,110,19,Restock,2025-01-07
178,167,-24,Sale,2024-09-14
179,6,20,Restock,2024-09-22
180,17,81,Restock,2025-02-25
181,110,87,Restock,2025-03-19
182,87,-39,Sale,2025-02-27
183,28,95,Restock,2024-10-07
184,120,86,Restock,2025-03-20
185,117,7,Restock,2025-05-12
186,190,47,Restock,2024-12-09
187,84,3,Restock,2024-12-28
188,163,-29,Sale,2024-11-28
189,78,-46,Sale,2024-12-19
190,113,18,Restock,2024-07-18
191,153,-17,Sale,2024-07-11
192,187,15,Restock,2025-01-19
193,140,96,Restock,2025-05-16
194,115,36,Restock,2024-10-23
195,162,-46,Sale,2025-03-28
196,91,56,Restock,2024-08-27
197,195,95,Restock,2024-06-08
198,41,41,Restock,2024-10-14
199,141,-44,Sale,2024-12-16
200,133,-29,Sale,2024-07-01
201,162,-34,Sale,2024-11-11
202,157,0,Restock,2024-11-05
203,37,9,Restock,2024-06-30
204,90,77,Restock,2024-06-12
205,109,54,Restock,2024-08-31
206,108,-7,Sale,2024-12-27
207,102,21,Restock,2024-09-25
208,116,53,Restock,2025-02-18
209,81,82,Restock,2024-08-11
210,40,-4,Sale,2024-10-04
211,156,16,Restock,2025-02-01
212,157,64,Restock,2024-06-03
213,68,-18,Sale,2025-04-09
214,156,23,Restock,2024-06-06
215,113,-12,Sale,2024-09-25
216,122,35,Restock,2024-11-23
217,52,47,Restock,2025-01-19
218,165,70,Restock,2025-05-04
219,175,63,Restock,2024-08-30
220,90,-50,Sale,2025-02-28
221,58,-34,Sale,2024-11-16
222,176,-4,Sale,2025-01-27
223,175,-34,Sale,2025-01-10
224,20,-16,Sale,2024-08-08
225,73,81,Restock,2024-12-29
226,167,89,Restock,2024-05-20
227,104,84,Restock,2024-12-12
228,22,58,Restock,2025-05-03
229,121,79,Restock,2024-06-27
230,121,6,Restock,2024-11-04
231,176,-35,Sale,2024-11-11
232,39,-37,Sale,2024-07-20
233,123,-2,Sale,2025-05-14
234,51,-38,Sale,2024-05-30
235,82,81,Restock,2024-12-04
236,153,-10,Sale,2024-05-22
237,158,-40,Sale,2025-04-21
238,199,-21,Sale,2024-11-22
239,32,48,Restock,2025-02-08
240,21,20,Restock,2024-08-26
241,95,51,Restock,2024-12-17
242,104,-7,Sale,2024-06-02
243,55,87,Restock,2024-12-09
244,12,5,Restock,2024-06-21
245,72,91,Restock,2024-10-25
246,1,15,Restock,2025-04-14
247,193,52,Restock,2025-01-05
248,184,79,Restock,2024-08-29
249,44,-1,Sale,2024-09-27
250,130,35,Restock,2024-09-19
251,97,-38,Sale,2024-10-30
252,37,14,Restock,2025-04-14
253,23,93,Restock,2024-07-04
254,62,-35,Sale,2024-12-20
255,89,-26,Sale,2024-12-20
256,92,16,Restock,2025-05-07
257,165,71,Restock,2025-01-23
258,105,93,Restock,2025-03-07
259,196,46,Restock,2025-01-21
260,64,-38,Sale,2025-02-18
261,131,70,Restock,2024-10-06
262,85,43,Restock,2024-08-30
263,141,6,Restock,2025-03-06
264,197,96,Restock,2024-10-19
265,174,-13,Sale,2024-10-07
266,190,79,Restock,2024-09-19
267,60,-21,Sale,2024-11-07
268,80,64,Restock,2024-05-27
269,28,53,Restock,2025-01-07
270,177,-20,Sale,2024-06-16
271,180,16,Restock,2024-08-08
272,93,17,Restock,2025-03-18
273,4,-30,Sale,2025-03-07
274,190,-39,Sale,2025-01-05
275,81,-28,Sale,2025-03-04
276,139,-5,Sale,2025-03-01
277,37,64,Restock,2024-09-08
278,57,-16,Sale,2025-01-26
279,184,-20,Sale,2024-08-27
280,129,63,Restock,2025-03-18
281,86,-41,Sale,2025-03-29
282,70,-19,Sale,2025-04-12
283,149,-2,Sale,2024-08-24
284,146,24,Restock,2024-11-24
285,175,60,Restock,2025-04-23
286,16,-37,Sale,2024-08-26
287,2,75,Restock,2025-05-19
288,179,35,Restock,2024-11-28
289,162,-19,Sale,2024-08-29
290,28,12,Restock,2024-12-05
291,145,84,Restock,2025-05-06
292,171,12,Restock,2024-09-04
293,77,-22,Sale,2025-03-27
294,160,75,Restock,2024-11-16
295,7,80,Restock,2025-02-18
296,149,-50,Sale,2025-03-01
297,104,-5,Sale,2024-08-12
298,3,100,Restock,2025-02-16
299,113,63,Restock,2025-03-31
300,95,-39,Sale,2024-08-10
301,95,-42,Sale,2025-04-09
302,10,95,Restock,2024-12-05
303,82,-49,Sale,2025-05-14
304,169,97,Restock,2024-12-23
305,155,93,Restock,2024-09-26
306,167,38,Restock,2025-04-24
307,30,85,Restock,2025-02-05
308,33,77,Restock,2025-01-04
309,17,14,Restock,2025-05-17
310,2,-6,Sale,2024-12-25
311,93,-13,Sale,2025-05-04
312,196,-6,Sale,2025-04-24
313,138,32,Restock,2025-04-25
314,41,62,Restock,2024-10-31
315,70,17,Restock,2025-03-18
316,139,-31,Sale,2024-07-12
317,37,16,Restock,2024-10-01
318,183,19,Restock,2024-11-06
319,26,9,Restock,2025-04-04
320,155,-23,Sale,2024-07-31
321,84,57,Restock,2024-09-15
322,15,15,Restock,2025-02-14
323,51,-8,Sale,2024-08-04
324,44,95,Restock,2024-09-27
325,27,84,Restock,2024-11-26
326,152,22,Restock,2024-08-09
327,82,5,Restock,2025-03-20
328,155,8,Restock,2025-05-20
329,109,44,Restock,2024-10-05
330,149,54,Restock,2024-06-17
331,12,-43,Sale,2025-05-19
332,146,77,Restock,2024-06-09
333,27,77,Restock,2024-08-05
334,168,29,Restock,2024-05-22
335,152,98,Restock,2024-07-04
336,141,-20,Sale,2024-12-03
337,128,85,Restock,2024-08-21
338,9,64,Restock,2024-11-22
339,164,-24,Sale,2025-02-04
340,78,13,Restock,2025-01-03
341,75,44,Restock,2024-10-18
342,158,56,Restock,2024-06-04
343,120,-23,Sale,2025-05-11
344,17,-18,Sale,2025-03-05
345,105,31,Restock,2024-11-01
346,25,14,Restock,2025-01-13
347,1,10,Restock,2024-10-29
348,78,84,Restock,2024-12-16
349,30,27,Restock,2024-10-12
350,100,33,Restock,2025-04-12
351,83,39,Restock,2024-07-28
352,31,28,Restock,2024-06-19
353,100,-22,Sale,2025-05-15
354,51,-32,Sale,2025-02-03
355,25,-47,Sale,2024-09-09
356,175,51,Restock,2025-05-12
357,72,-8,Sale,2024-10-04
358,30,51,Restock,2024-05-24
359,59,35,Restock,2025-03-26
360,117,0,Restock,2024-07-31
361,66,94,Restock,2024-12-27
362,93,25,Restock,2025-03-11
363,24,63,Restock,2025-04-24
364,130,97,Restock,2025-03-05
365,24,88,Restock,2024-06-25
366,78,94,Restock,2024-12-11
367,15,23,Restock,2025-03-10
368,45,24,Restock,2024-11-20
369,82,-38,Sale,2024-09-02
370,161,29,Restock,2024-08-31
371,94,-48,Sale,2024-06-19
372,17,24,Restock,2024-12-09
373,110,15,Restock,2024-10-11
374,17,-25,Sale,2025-02-15
375,178,22,Restock,2025-01-17
376,172,-21,Sale,2024-10-29
377,48,-13,Sale,2024-07-26
378,130,6,Restock,2024-09-11
379,152,50,Restock,2024-10-28
380,62,81,Restock,2024-11-02
381,119,24,Restock,2025-01-14
382,62,-14,Sale,2024-11-08
383,176,42,Restock,2024-06-14
384,34,72,Restock,2024-11-28
385,67,46,Restock,2025-02-16
386,9,-38,Sale,2024-10-26
387,8,58,Restock,2024-08-20
388,141,-19,Sale,2024-07-02
389,181,4,Restock,2025-04-17
390,144,33,Restock,2025-03-09
391,49,21,Restock,2024-07-12
392,54,-1,Sale,2024-11-17
393,179,36,Restock,2024-10-29
394,42,100,Restock,2024-08-15
395,137,100,Restock,2024-08-15
396,144,70,Restock,2025-01-22
397,192,-17,Sale,2024-06-19
398,182,-29,Sale,2024-05-24
399,107,-2,Sale,2024-09-14
400,166,68,Restock,2025-04-12
401,3,59,Restock,2024-08-21
402,166,-9,Sale,2024-09-08
403,89,89,Restock,2025-04-27
404,86,-1,Sale,2024-11-24
405,141,-17,Sale,2024-10-14
406,112,-15,Sale,2024-09-12
407,40,-8,Sale,2024-09-01
408,185,83,Restock,2025-04-10
409,195,18,Restock,2024-10-27
410,64,-34,Sale,2024-05-25
411,95,90,Restock,2024-11-04
412,25,-26,Sale,2024-08-14
413,24,35,Restock,2024-10-11
414,82,-23,Sale,2024-06-26
415,57,-14,Sale,2024-08-14
416,139,38,Restock,2025-03-05
417,119,30,Restock,2024-08-05
418,60,16,Restock,2024-11-19
419,184,-46,Sale,2025-01-20
420,122,82,Restock,2024-08-15
421,83,27,Restock,2024-11-28
422,176,-4,Sale,2024-09-09
423,129,33,Restock,2025-02-08
424,132,45,Restock,2025-03-21
425,182,-11,Sale,2025-01-25
426,1,50,Restock,2025-03-24
427,55,35,Restock,2024-11-28
428,132,-20,Sale,2024-09-11
429,46,95,Restock,2024-09-19
430,78,45,Restock,2025-05-13
431,11,85,Restock,2024-07-06
432,184,50,Restock,2024-12-23
433,11,-21,Sale,2024-06-29
434,67,-39,Sale,2024-12-18
435,136,22,Restock,2025-04-02
436,36,16,Restock,2025-01-17
437,134,71,Restock,2024-07-06
438,93,82,Restock,2024-11-19
439,107,80,Restock,2025-05-07
440,26,-10,Sale,2025-03-18
441,102,37,Restock,2024-09-17
442,12,-13,Sale,2024-12-14
443,14,100,Restock,2024-07-15
444,108,85,Restock,2025-02-23
445,58,-34,Sale,2024-11-12
446,56,55,Restock,2025-03-08
447,87,0,Restock,2024-12-15
448,171,78,Restock,2024-08-28
449,100,16,Restock,2024-12-25
450,12,27,Restock,2024-12-05
451,120,93,Restock,2024-10-31
452,99,-50,Sale,2024-12-31
453,24,63,Restock,2024-12-29
454,139,91,Restock,2024-12-28
455,182,60,Restock,2024-09-16
456,29,65,Restock,2025-04-20
457,31,98,Restock,2025-04-18
458,89,-26,Sale,2024-06-26
459,50,67,Restock,2025-05-08
460,153,19,Restock,2024-07-06
461,188,96,Restock,2025-01-04
462,191,50,Restock,2025-03-14
463,98,-10,Sale,2024-06-23
464,22,78,Restock,2025-04-09
465,26,85,Restock,2024-11-05
466,170,73,Restock,2024-11-20
467,176,18,Restock,2025-05-16
468,5,86,Restock,2025-05-20
469,193,28,Restock,2025-01-03
470,50,-17,Sale,2024-07-30
471,103,-36,Sale,2025-05-06
472,170,-26,Sale,2024-12-22
473,184,-25,Sale,2024-06-02
474,97,25,Restock,2025-04-12
475,171,67,Restock,2025-05-04
476,196,16,Restock,2024-12-13
477,130,-22,Sale,2024-09-28
478,14,100,Restock,2025-02-09
479,110,100,Restock,2024-09-24
480,104,71,Restock,2025-01-26
481,175,-24,Sale,2025-02-08
482,187,-29,Sale,2024-12-18
483,136,71,Restock,2025-03-20
484,42,95,Restock,2024-06-02
485,100,41,Restock,2025-01-11
486,19,-50,Sale,2024-08-05
487,144,7,Restock,2025-04-25
488,125,-35,Sale,2025-02-17
489,147,-34,Sale,2024-10-11
490,166,1,Restock,2024-08-25
491,90,-34,Sale,2024-11-13
492,154,-3,Sale,2024-10-18
493,191,76,Restock,2024-06-21
494,6,42,Restock,2024-10-14
495,45,-10,Sale,2025-01-15
496,117,88,Restock,2024-08-03
497,173,39,Restock,2025-04-06
498,95,47,Restock,2024-10-02
499,185,-39,Sale,2025-01-21
500,8,61,Restock,2025-01-17
501,183,59,Restock,2025-05-10
502,12,-19,Sale,2024-06-13
503,29,78,Restock,2024-12-13
504,160,13,Restock,2025-03-19
505,144,13,Restock,2024-09-22
506,195,-39,Sale,2024-12-04
507,146,0,Restock,2024-09-12
508,38,75,Restock,2024-09-25
509,141,94,Restock,2024-11-03
510,113,-39,Sale,2024-06-05
511,52,35,Restock,2025-03-04
512,59,46,Restock,2025-03-21
513,26,-25,Sale,2025-04-02
514,117,-50,Sale,2024-08-19
515,39,78,Restock,2025-04-10
516,93,68,Restock,2024-09-05
517,188,-13,Sale,2025-04-19
518,24,-3,Sale,2024-09-02
519,98,10,Restock,2024-06-13
520,176,32,Restock,2024-12-05
521,81,-28,Sale,2024-09-12
522,200,27,Restock,2024-09-19
523,167,-29,Sale,2024-09-28
524,177,85,Restock,2024-12-02
525,116,53,Restock,2025-03-09
526,2,53,Restock,2024-12-04
527,71,-9,Sale,2024-09-26
528,21,35,Restock,2025-02-12
529,16,-28,Sale,2025-02-04
530,37,23,Restock,2025-04-23
531,9,66,Restock,2024-10-16
532,198,-12,Sale,2025-01-25
533,110,-32,Sale,2024-10-05
534,195,64,Restock,2024-10-18
535,148,32,Restock,2024-07-09
536,154,-4,Sale,2024-08-30
537,8,-40,Sale,2025-01-24
538,13,12,Restock,2025-04-30
539,178,27,Restock,2024-06-03
540,6,-37,Sale,2025-04-02
541,21,59,Restock,2024-09-07
542,180,-43,Sale,2025-05-01
543,126,46,Restock,2025-02-19
544,21,25,Restock,2025-03-21
545,139,30,Restock,2025-03-14
546,77,-5,Sale,2025-03-15
547,184,37,Restock,2025-03-07
548,63,-45,Sale,2024-11-02
549,186,73,Restock,2024-06-17
550,24,76,Restock,2024-05-23
551,174,2,Restock,2025-03-07
552,134,76,Restock,2024-06-13
553,176,41,Restock,2025-01-10
554,15,13,Restock,2025-02-20
555,20,-39,Sale,2025-04-11
556,110,49,Restock,2024-08-18
557,39,69,Restock,2024-09-28
558,149,7,Restock,2024-07-14
559,11,-2,Sale,2024-12-19
560,179,32,Restock,2024-05-24
561,133,85,Restock,2024-08-19
562,12,-41,Sale,2024-11-20
563,90,52,Restock,2025-01-05
564,52,77,Restock,2025-03-04
565,167,26,Restock,2025-01-03
566,181,54,Restock,2024-10-30
567,15,-17,Sale,2024-12-04
568,88,96,Restock,2025-05-03
569,41,-1,Sale,2025-04-09
570,64,51,Restock,2024-09-30
571,188,60,Restock,2024-07-12
572,69,38,Restock,2024-06-21
573,43,93,Restock,2024-08-27
574,62,-22,Sale,2024-10-27
575,25,31,Restock,2024-10-26
576,121,8,Restock,2024-08-29
577,50,64,Restock,2025-04-21
578,147,77,Restock,2025-02-04
579,66,44,Restock,2025-01-08
580,103,-11,Sale,2024-11-26
581,8,33,Restock,2025-01-24
582,32,77,Restock,2024-06-29
583,3,-29,Sale,2025-03-31
584,63,89,Restock,2024-07-26
585,31,-20,Sale,2025-03-13
586,194,-45,Sale,2024-08-31
587,102,58,Restock,2024-05-20
588,80,-6,Sale,2025-02-03
589,7,67,Restock,2024-11-19
590,11,77,Restock,2024-09-26
591,94,87,Restock,2024-07-24
592,61,2,Restock,2025-05-18
593,141,84,Restock,2024-07-29
594,65,-13,Sale,2024-12-29
595,118,-41,Sale,2024-07-30
596,139,-1,Sale,2024-12-02
597,58,25,Restock,2025-04-27
598,66,-15,Sale,2024-07-31
599,1,3,Restock,2025-04-20
600,52,81,Restock,2025-02-22
601,19,20,Restock,2024-06-22
602,153,58,Restock,2025-04-19
603,28,9,Restock,2024-06-30
604,42,28,Restock,2024-11-23
605,155,-20,Sale,2024-09-23
606,127,-13,Sale,2024-12-06
607,51,0,Restock,2024-09-19
608,178,38,Restock,2024-07-14
609,37,40,Restock,2025-02-23
610,20,-48,Sale,2024-12-22
611,177,69,Restock,2024-06-02
612,19,72,Restock,2024-11-11
613,35,72,Restock,2024-06-07
614,73,51,Restock,2024-07-21
615,169,50,Restock,2025-03-29
616,136,-31,Sale,2025-03-09
617,73,93,Restock,2024-07-28
618,152,41,Restock,2024-06-17
619,12,27,Restock,2024-10-24
620,175,24,Restock,2025-01-16
621,124,20,Restock,2024-10-19
622,131,8,Restock,2025-03-13
623,18,99,Restock,2024-06-27
624,52,95,Restock,2024-11-01
625,36,39,Restock,2025-05-07
626,49,-15,Sale,2024-12-01
627,18,29,Restock,2025-02-21
628,182,79,Restock,2024-12-27
629,85,59,Restock,2025-03-31
630,12,31,Restock,2024-08-29
631,42,25,Restock,2024-10-02
632,92,24,Restock,2024-06-02
633,132,64,Restock,2025-03-17
634,52,-41,Sale,2025-02-17
635,128,42,Restock,2025-01-09
636,74,-37,Sale,2024-05-21
637,149,72,Restock,2024-07-26
638,81,5,Restock,2025-01-25
639,118,25,Restock,2024-12-12
640,52,97,Restock,2025-02-01
641,144,9,Restock,2024-12-08
642,192,-16,Sale,2024-11-12
643,44,5,Restock,2024-11-24
644,16,100,Restock,2024-06-07
645,6,70,Restock,2024-06-09
646,150,74,Restock,2024-11-09
647,52,94,Restock,2025-04-10
648,135,29,Restock,2025-05-14
649,7,-10,Sale,2025-03-07
650,148,59,Restock,2025-05-13
651,181,-37,Sale,2024-07-13
652,29,90,Restock,2025-01-28
653,137,-27,Sale,2025-05-07
654,64,-6,Sale,2024-10-28
655,164,98,Restock,2025-03-13
656,102,-19,Sale,2025-05-18
657,85,-44,Sale,2024-11-07
658,74,51,Restock,2024-06-02
659,3,94,Restock,2024-11-05
660,141,29,Restock,2025-01-31
661,196,77,Restock,2024-09-04
662,200,39,Restock,2025-03-14
663,23,76,Restock,2024-12-03
664,81,37,Restock,2025-04-10
665,19,86,Restock,2025-01-12
666,109,42,Restock,2024-11-25
667,127,99,Restock,2024-08-21
668,165,-17,Sale,2024-10-27
669,116,-37,Sale,2025-02-02
670,59,18,Restock,2025-02-24
671,193,-20,Sale,2024-06-08
672,76,60,Restock,2024-06-24
673,198,94,Restock,2024-12-08
674,113,-36,Sale,2025-02-05
675,148,74,Restock,2025-02-03
676,22,23,Restock,2024-08-31
677,99,93,Restock,2024-11-15
678,141,64,Restock,2024-09-13
679,7,67,Restock,2025-03-13
680,31,37,Restock,2025-04-25
681,116,-7,Sale,2024-11-06
682,5,-32,Sale,2025-04-22
683,110,42,Restock,2024-10-11
684,172,-36,Sale,2024-12-12
685,71,30,Restock,2025-02-02
686,176,37,Restock,2024-08-21
687,134,33,Restock,2024-07-26
688,28,85,Restock,2024-07-24
689,112,61,Restock,2025-04-08
690,91,10,Restock,2025-02-25
691,32,65,Restock,2024-11-21
692,127,-44,Sale,2025-01-20
693,66,2,Restock,2025-03-30
694,138,38,Restock,2024-07-18
695,45,-47,Sale,2024-05-26
696,182,35,Restock,2025-04-20
697,126,-47,Sale,2025-01-11
698,178,-20,Sale,2024-09-10
699,76,64,Restock,2025-05-12
700,142,58,Restock,2025-01-24
701,5,42,Restock,2024-07-08
702,18,-38,Sale,2025-01-06
703,126,-5,Sale,2025-03-04
704,192,83,Restock,2024-09-28
705,165,14,Restock,2024-08-01
706,20,60,Restock,2024-08-23
707,118,-20,Sale,2024-10-11
708,149,81,Restock,2024-09-21
709,22,5,Restock,2025-04-13
710,128,82,Restock,2025-03-01
711,97,11,Restock,2024-08-23
712,64,-26,Sale,2024-07-10
713,75,-44,Sale,2024-12-19
714,199,-13,Sale,2025-01-04
715,118,10,Restock,2025-04-19
716,7,7,Restock,2024-09-06
717,135,82,Restock,2025-02-10
718,32,75,Restock,2024-10-31
719,19,57,Restock,2024-06-17
720,29,35,Restock,2025-02-13
721,178,100,Restock,2024-06-19
722,179,-4,Sale,2025-03-03
723,139,68,Restock,2024-07-25
724,8,-45,Sale,2024-10-23
725,15,21,Restock,2025-03-18
726,119,-4,Sale,2024-11-15
727,132,-50,Sale,2024-12-14
728,9,26,Restock,2025-01-21
729,42,16,Restock,2024-07-15
730,46,5,Restock,2025-05-12
731,40,48,Restock,2024-05-27
732,79,1,Restock,2024-07-25
733,172,77,Restock,2024-09-28
734,108,26,Restock,2025-01-05
735,110,44,Restock,2024-11-19
736,114,11,Restock,2024-08-31
737,110,41,Restock,2024-06-09
738,20,57,Restock,2024-06-29
739,102,32,Restock,2025-03-17
740,169,-17,Sale,2024-06-17
741,66,-19,Sale,2025-03-04
742,169,-8,Sale,2024-08-01
743,161,95,Restock,2025-02-15
744,167,37,Restock,2024-06-08
745,109,-32,Sale,2025-01-04
746,140,66,Restock,2024-07-08
747,105,62,Restock,2024-06-02
748,54,-8,Sale,2025-05-15
749,45,-10,Sale,2024-11-19
750,49,-25,Sale,2024-09-22
751,179,-16,Sale,2024-07-23
752,40,10,Restock,2024-07-31
753,65,58,Restock,2024-05-24
754,42,13,Restock,2024-09-08
755,40,62,Restock,2025-05-17
756,111,-1,Sale,2025-02-08
757,116,-44,Sale,2024-07-12
758,111,-8,Sale,2025-05-02
759,58,89,Restock,2024-09-19
760,97,44,Restock,2024-06-18
761,32,-13,Sale,2024-07-05
762,4,-28,Sale,2025-05-05
763,133,23,Restock,2025-01-02
764,115,33,Restock,2024-07-23
765,166,50,Restock,2025-03-23
766,94,-22,Sale,2024-11-13
767,126,52,Restock,2025-01-11
768,158,69,Restock,2024-07-18
769,188,77,Restock,2025-02-06
770,120,-30,Sale,2024-12-18
771,107,33,Restock,2025-01-05
772,126,53,Restock,2024-07-31
773,58,10,Restock,2024-09-14
774,80,65,Restock,2024-10-11
775,93,75,Restock,2025-05-16
776,132,10,Restock,2024-05-22
777,164,6,Restock,2024-12-10
778,41,25,Restock,2024-08-29
779,15,25,Restock,2025-04-03
780,122,-36,Sale,2024-08-29
781,62,-21,Sale,2025-05-18
782,172,67,Restock,2024-09-27
783,176,94,Restock,2024-12-12
784,7,67,Restock,2024-12-07
785,62,18,Restock,2024-09-27
786,185,-21,Sale,2024-08-26
787,191,-14,Sale,2025-04-14
788,25,58,Restock,2024-10-20
789,76,75,Restock,2025-03-08
790,185,-19,Sale,2024-07-20
791,135,65,Restock,2024-10-01
792,96,-43,Sale,2024-08-11
793,23,18,Restock,2025-05-17
794,98,5,Restock,2025-03-31
795,158,23,Restock,2024-09-24
796,4,23,Restock,2025-01-15
797,149,28,Restock,2024-11-05
798,123,30,Restock,2025-03-16
799,17,45,Restock,2024-07-30
800,195,-48,Sale,2024-06-28
801,177,1,Restock,2025-02-06
802,180,50,Restock,2025-02-11
803,66,0,Restock,2025-02-27
804,125,52,Restock,2024-10-15
805,91,-29,Sale,2025-04-08
