product_id,product_name,category,price,stock_quantity,reorder_level,supplier_id
161,Base Device,Furniture,326.91,691,178,19
162,If Table,Clothing,19.24,393,50,21
163,Hospital Shirt,Furniture,402.72,444,120,50
164,Someone Shirt,Furniture,48.37,801,105,50
165,Nor Snack,Furniture,370.86,122,194,22
166,Lead Toy,Clothing,241.78,921,156,17
167,Discuss Toy,Furniture,427.74,117,188,21
168,Include Device,Clothing,155.04,856,55,46
169,Four Shirt,Clothing,104.03,63,175,32
170,Six Device,Toys,487.24,493,100,26
171,Spring Toy,Electronics,367.23,336,199,11
172,Sit Toy,Toys,112.59,474,121,46
173,Real Snack,Clothing,279.67,4,182,36
174,Sound Snack,Clothing,411.15,89,59,40
175,Notice Toy,Toys,132.08,640,113,7
176,Expert Snack,Toys,234.66,116,98,47
177,Return Table,Groceries,379.58,177,75,22
178,Audience Snack,Groceries,451.94,467,148,4
179,As Toy,Electronics,181.73,865,120,38
180,Door Toy,Groceries,136.59,11,178,31
181,These Snack,Toys,131.74,998,163,38
182,Ask Table,Electronics,498.23,674,97,2
183,Bed Toy,Groceries,198.8,723,140,45
184,Seven Table,Groceries,229.29,856,120,8
185,Couple Shirt,Toys,184.95,50,138,40
186,Sound Table,Furniture,51.09,256,84,49
187,Describe Toy,Groceries,425.56,770,83,26
188,Manage Table,Furniture,157.43,328,158,34
189,However Snack,Clothing,322.48,707,95,38
190,Conference Snack,Toys,100.72,417,96,34
191,Environmental Device,Electronics,99.52,881,93,10
192,Thought Toy,Furniture,275.37,147,157,28
193,Whom Table,Furniture,430.27,727,186,22
194,Choose Snack,Electronics,277.9,406,118,2
195,During Toy,Electronics,258.62,967,188,16
196,Former Device,Toys,93.29,939,102,30
197,Give Shirt,Toys,281.03,240,61,30
198,Meet Shirt,Clothing,279.61,892,76,6
199,Book Device,Groceries,444.42,46,66,49
200,Writer Table,Groceries,172.97,700,198,1
