reorder_id,product_id,reorder_quantity,reorder_date,status
301,113,203,2025-01-03,Pending
302,143,81,2024-06-24,Received
303,77,213,2025-04-18,Pending
304,27,55,2024-07-09,Ordered
305,176,202,2024-06-21,Received
306,27,158,2024-05-31,Received
307,54,64,2024-06-13,Pending
308,46,199,2024-11-21,Ordered
309,51,116,2024-11-27,Ordered
310,134,147,2024-12-03,Pending
311,23,276,2024-08-14,Ordered
312,40,182,2025-05-14,Ordered
313,87,296,2024-09-14,Ordered
314,190,241,2024-08-13,Pending
315,141,72,2024-09-20,Received
316,70,277,2024-08-13,Received
317,129,257,2024-08-08,Received
318,134,87,2025-01-27,Received
319,195,230,2024-11-05,Received
320,4,275,2025-05-11,Ordered
321,145,120,2024-12-01,Ordered
322,21,288,2024-06-26,Received
323,66,80,2024-12-21,Received
324,116,134,2025-03-01,Received
325,146,213,2025-05-02,Pending
326,163,125,2025-05-20,Received
327,1,169,2024-07-18,Received
328,4,122,2025-04-14,Pending
329,169,231,2024-10-20,Ordered
330,13,58,2025-02-01,Pending
331,67,213,2024-10-25,Pending
332,48,237,2024-10-14,Pending
333,168,62,2025-04-04,Pending
334,118,157,2025-05-09,Received
335,183,236,2024-08-22,Pending
336,24,156,2025-03-14,Received
337,179,163,2025-03-12,Received
338,24,247,2024-12-19,Received
339,5,175,2024-10-21,Ordered
340,22,110,2024-10-08,Pending
341,114,274,2024-06-08,Pending
342,57,292,2024-12-17,Ordered
343,52,172,2024-12-07,Received
344,14,83,2024-11-13,Pending
345,78,129,2024-12-13,Received
346,51,107,2025-03-31,Ordered
347,45,140,2025-02-26,Ordered
348,110,156,2024-12-10,Received
349,53,219,2024-09-20,Ordered
350,129,113,2025-05-04,Ordered
351,168,106,2024-07-29,Received
352,100,233,2024-07-13,Received
353,53,52,2024-11-28,Ordered
354,152,68,2024-12-12,Received
355,146,187,2025-04-18,Received
356,32,69,2024-09-18,Pending
357,126,98,2024-11-17,Received
358,196,201,2025-01-28,Pending
359,26,172,2024-07-31,Received
360,6,164,2024-10-14,Pending
361,126,110,2025-05-10,Received
362,1,235,2025-01-20,Pending
363,17,234,2024-06-30,Pending
364,200,194,2024-10-08,Pending
365,107,145,2024-08-19,Pending
366,73,278,2024-09-05,Received
367,159,150,2024-08-15,Received
368,126,197,2025-05-16,Ordered
369,74,111,2024-09-28,Ordered
370,143,90,2024-11-01,Ordered
371,162,151,2024-09-22,Ordered
372,21,271,2025-03-05,Pending
373,106,181,2025-05-10,Received
374,11,187,2025-05-14,Received
375,165,117,2025-03-04,Received
376,16,132,2024-08-04,Received
377,131,194,2024-07-18,Ordered
378,110,199,2024-12-14,Ordered
379,141,110,2024-11-05,Received
380,192,99,2025-01-18,Received
381,70,220,2024-06-12,Received
382,116,116,2024-12-22,Ordered
383,118,129,2024-05-25,Pending
384,86,191,2025-04-29,Received
385,57,106,2024-07-31,Received
386,170,265,2024-05-25,Received
387,122,292,2024-11-26,Ordered
388,4,108,2024-08-10,Received
389,152,97,2024-09-28,Ordered
390,103,105,2024-07-09,Ordered
391,86,266,2024-08-21,Ordered
392,186,294,2024-11-01,Pending
393,183,281,2025-01-25,Pending
394,40,286,2025-02-16,Received
395,170,50,2025-03-31,Received
396,79,163,2025-02-26,Pending
397,168,72,2024-11-11,Pending
398,178,214,2025-02-17,Ordered
399,185,262,2024-12-12,Ordered
400,197,195,2024-09-16,Pending
401,140,203,2024-12-18,Received
402,195,103,2024-09-15,Pending
403,12,233,2024-06-23,Ordered
404,38,169,2025-03-18,Received
405,62,54,2024-09-18,Pending
406,103,251,2024-06-01,Pending
407,69,78,2024-08-24,Pending
408,83,254,2024-10-05,Received
409,63,145,2024-07-08,Pending
410,174,112,2024-12-25,Ordered
411,166,151,2024-12-22,Pending
412,119,216,2024-08-28,Received
413,97,89,2024-07-16,Ordered
414,137,67,2024-11-19,Received
415,14,262,2025-01-17,Ordered
416,173,125,2024-11-29,Ordered
417,180,277,2025-04-02,Ordered
418,146,134,2024-06-30,Pending
419,158,187,2025-04-01,Ordered
420,49,296,2025-04-21,Ordered
421,84,138,2024-11-27,Received
422,123,213,2025-03-23,Pending
423,128,97,2024-07-23,Pending
424,13,217,2025-02-01,Pending
425,47,195,2024-09-02,Received
426,172,193,2024-11-07,Ordered
427,120,249,2024-06-02,Received
428,127,88,2024-07-22,Pending
429,116,134,2025-04-18,Pending
430,140,197,2025-04-12,Pending
431,45,215,2024-11-04,Received
432,117,186,2025-02-17,Ordered
433,39,227,2024-08-05,Pending
434,78,147,2024-05-28,Received
435,118,294,2024-09-06,Received
436,133,265,2025-02-12,Received
437,169,149,2024-08-10,Received
438,126,128,2024-12-18,Ordered
439,18,139,2024-07-23,Received
440,119,189,2024-10-09,Received
441,186,160,2024-06-21,Received
442,145,181,2025-05-04,Pending
443,92,118,2024-12-21,Pending
444,181,201,2024-08-05,Ordered
445,152,280,2024-06-16,Received
446,51,134,2024-08-10,Received
447,32,271,2024-07-07,Ordered
448,164,61,2024-06-23,Received
449,143,100,2025-03-08,Ordered
450,49,144,2024-12-24,Ordered
451,101,65,2025-03-17,Ordered
452,78,223,2024-11-29,Pending
453,170,220,2024-09-18,Received
454,168,178,2024-08-31,Ordered
455,172,232,2024-11-29,Pending
456,8,177,2024-11-16,Pending
457,1,296,2025-03-11,Received
458,90,248,2025-01-11,Pending
459,200,292,2025-03-04,Received
460,28,282,2024-08-14,Pending
461,139,143,2024-10-09,Received
462,16,157,2024-07-19,Received
463,47,225,2025-05-14,Ordered
464,184,157,2024-08-27,Pending
465,38,136,2025-03-06,Pending
466,46,267,2025-02-15,Pending
467,109,216,2025-03-01,Ordered
468,113,105,2025-04-25,Pending
469,70,274,2025-02-28,Pending
470,157,268,2024-11-11,Received
471,191,222,2025-01-03,Ordered
472,7,192,2025-03-24,Ordered
473,178,129,2024-10-12,Pending
474,70,221,2025-01-16,Received
475,138,125,2024-09-13,Pending
476,116,205,2025-03-09,Pending
477,72,124,2025-01-22,Pending
478,181,73,2024-06-25,Ordered
479,200,51,2024-11-27,Ordered
480,186,62,2024-11-30,Ordered
481,148,282,2025-03-19,Pending
482,100,77,2025-02-27,Pending
483,139,217,2024-08-15,Ordered
484,147,146,2024-12-24,Pending
485,83,194,2024-07-29,Received
486,93,115,2024-10-09,Pending
487,55,258,2025-04-30,Ordered
488,133,256,2024-10-20,Received
489,119,243,2025-03-31,Pending
490,60,68,2025-02-20,Received
491,198,182,2025-01-29,Received
492,172,163,2024-07-31,Received
493,98,287,2024-10-20,Ordered
494,61,217,2025-02-09,Pending
495,61,172,2025-03-30,Ordered
496,86,141,2024-10-08,Received
497,81,287,2025-03-21,Received
498,5,175,2024-09-04,Ordered
499,77,56,2025-01-10,Ordered
500,44,65,2024-09-12,Pending
