shipment_id,product_id,supplier_id,quantity_received,shipment_date
241,42,12,455,2024-08-20
242,25,34,303,2025-04-03
243,40,3,276,2024-11-05
244,13,49,283,2024-07-10
245,21,36,196,2024-12-04
246,98,31,483,2025-02-20
247,53,31,351,2024-10-17
248,93,13,420,2024-08-10
249,122,22,478,2025-03-17
250,90,6,19,2025-01-27
251,63,15,84,2024-09-02
252,25,34,151,2025-03-30
253,75,18,355,2024-07-17
254,162,21,129,2025-05-04
255,51,2,146,2024-12-12
256,53,31,381,2024-09-10
257,70,11,186,2025-01-13
258,120,21,231,2025-05-06
259,24,40,253,2025-02-02
260,46,22,418,2024-09-15
261,160,45,265,2024-10-06
262,187,26,458,2024-08-25
263,16,34,447,2025-01-21
264,10,40,42,2025-03-26
265,68,13,218,2024-06-20
266,131,42,384,2025-03-08
267,182,2,376,2025-04-21
268,188,34,16,2024-06-24
269,184,8,428,2025-04-02
270,87,37,359,2025-05-06
271,169,32,248,2024-11-12
272,64,1,412,2024-09-11
273,160,45,394,2025-01-31
274,136,44,381,2025-03-12
275,117,11,282,2024-08-07
276,3,23,35,2025-03-02
277,83,31,227,2025-05-17
278,184,8,293,2024-08-17
279,36,3,117,2025-01-14
280,73,37,437,2025-03-14
281,81,42,429,2025-02-19
282,62,47,130,2024-06-02
283,40,3,95,2024-08-22
284,73,37,67,2025-05-04
285,29,5,499,2025-03-31
286,188,34,111,2025-05-16
287,137,1,200,2025-05-06
288,111,36,298,2024-05-26
289,21,36,151,2025-02-26
290,162,21,395,2024-08-26
291,104,44,381,2024-06-30
292,146,32,251,2024-05-20
293,90,6,47,2025-01-29
294,12,19,359,2024-07-05
295,106,15,143,2024-10-12
296,199,49,375,2025-02-27
297,149,45,380,2025-04-21
298,108,26,51,2024-08-09
299,89,47,72,2024-06-09
300,166,17,358,2025-05-17
301,99,24,457,2024-06-08
302,168,46,324,2024-10-18
303,47,37,286,2024-11-01
304,187,26,422,2024-12-20
305,167,21,328,2024-07-18
306,28,6,179,2024-09-12
307,136,44,350,2024-06-07
308,81,42,277,2024-11-09
309,126,28,325,2024-12-09
310,188,34,384,2024-07-01
311,20,39,341,2024-12-23
312,48,45,194,2025-05-06
313,189,38,297,2024-07-14
314,9,48,178,2025-03-13
315,85,14,228,2024-06-19
316,90,6,186,2024-07-24
317,146,32,268,2024-08-25
318,162,21,427,2024-09-16
319,10,40,171,2024-08-18
320,151,36,157,2024-07-13
321,19,26,385,2024-12-24
322,22,34,99,2025-05-06
323,167,21,400,2024-08-05
324,149,45,262,2025-05-13
325,19,26,301,2025-04-01
326,82,22,281,2024-10-14
327,86,24,236,2025-02-20
328,46,22,340,2025-01-27
329,145,21,468,2025-03-07
330,8,25,123,2024-06-19
331,139,32,99,2024-07-01
332,123,49,194,2024-12-23
333,154,48,463,2024-10-29
334,155,34,210,2024-08-18
335,189,38,38,2025-04-06
336,188,34,438,2024-06-06
337,61,20,404,2024-09-17
338,79,22,211,2025-03-31
339,116,26,118,2025-01-09
340,64,1,478,2025-05-19
341,43,43,441,2024-10-29
342,11,15,300,2024-10-17
343,163,50,267,2024-10-05
344,41,14,143,2025-04-16
345,50,7,193,2024-10-21
346,81,42,442,2024-07-14
347,162,21,315,2025-03-26
348,52,45,160,2024-11-24
349,46,22,59,2025-02-19
350,188,34,105,2025-03-17
351,99,24,267,2024-10-30
352,112,27,474,2025-05-13
353,155,34,35,2024-09-30
354,137,1,84,2024-09-20
355,6,39,74,2025-01-14
356,25,34,359,2024-12-20
357,149,45,412,2024-11-03
358,112,27,51,2025-03-27
359,99,24,85,2025-02-23
360,115,31,196,2024-10-09
361,59,23,477,2024-08-22
362,1,19,159,2024-08-21
363,181,38,432,2024-11-03
364,116,26,23,2024-05-30
365,157,39,264,2024-06-06
366,82,22,198,2024-10-11
367,4,49,100,2024-06-24
368,149,45,140,2024-09-17
369,54,40,180,2024-11-24
370,199,49,60,2024-06-30
371,180,31,222,2025-04-06
372,87,37,184,2025-05-06
373,179,38,393,2024-06-15
374,12,19,120,2024-12-17
375,160,45,201,2024-10-20
376,169,32,146,2024-10-09
377,6,39,266,2025-05-01
378,78,50,332,2024-09-22
379,103,5,227,2025-01-31
380,72,46,92,2024-11-15
381,117,11,358,2025-02-04
382,106,15,198,2024-11-25
383,162,21,292,2024-06-21
384,94,31,485,2025-03-24
385,121,30,199,2025-05-05
386,142,50,462,2025-01-20
387,150,5,421,2025-04-28
388,61,20,199,2025-02-28
389,87,37,418,2024-07-26
390,131,42,323,2025-02-09
391,34,47,221,2025-04-14
392,161,19,477,2024-10-02
393,93,13,174,2025-03-20
394,179,38,435,2024-09-16
395,106,15,163,2025-01-16
396,84,42,174,2025-04-05
397,42,12,78,2024-08-14
398,194,2,149,2024-12-26
399,109,45,121,2025-01-08
400,34,47,288,2024-07-15
401,62,47,411,2024-11-14
402,111,36,387,2024-12-22
403,152,10,362,2024-07-25
404,66,10,176,2025-05-07
405,89,47,228,2024-07-04
406,71,32,424,2024-12-22
407,10,40,32,2024-11-28
408,177,22,15,2025-03-18
409,88,9,144,2024-06-18
410,84,42,455,2025-01-19
411,82,22,209,2024-11-08
412,1,19,263,2025-05-06
413,80,46,174,2024-07-06
414,35,38,494,2025-01-10
415,137,1,19,2025-05-12
416,192,28,307,2024-12-15
417,126,28,333,2025-04-18
418,91,28,142,2025-03-09
419,60,31,99,2025-03-24
420,79,22,317,2025-05-20
421,83,31,57,2024-10-05
422,109,45,51,2024-05-26
423,128,18,267,2024-10-02
424,60,31,247,2025-01-14
425,138,41,211,2025-03-30
426,161,19,44,2024-09-29
427,45,23,202,2024-07-01
428,194,2,291,2025-05-18
429,100,45,439,2024-09-23
430,150,5,117,2024-06-23
431,151,36,383,2024-12-16
432,96,45,112,2025-02-02
433,1,19,126,2024-07-06
434,70,11,369,2024-08-15
435,91,28,446,2024-12-05
436,106,15,490,2024-08-28
437,76,33,267,2025-02-12
438,194,2,10,2025-03-21
439,76,33,165,2025-04-11
440,76,33,118,2024-08-03
441,125,24,48,2024-09-08
442,103,5,381,2024-06-24
443,104,44,466,2025-03-01
444,85,14,473,2025-01-08
445,180,31,32,2024-11-25
446,124,20,76,2024-10-17
447,43,43,40,2024-11-10
448,76,33,11,2024-06-10
449,144,37,469,2025-01-24
450,142,50,430,2024-12-01
451,191,10,157,2025-03-01
452,100,45,168,2024-12-26
453,117,11,454,2025-01-09
454,33,22,499,2024-12-24
455,74,6,374,2024-08-03
456,174,40,299,2024-08-06
457,188,34,46,2025-04-10
458,75,18,356,2024-08-30
459,101,42,37,2024-06-11
460,135,16,131,2025-03-16
461,147,21,225,2025-01-09
462,176,47,50,2025-04-19
463,56,33,35,2024-06-25
464,134,23,142,2024-10-12
465,146,32,441,2024-10-12
466,184,8,105,2024-11-19
467,161,19,159,2025-04-06
468,42,12,430,2025-02-10
469,24,40,338,2024-08-09
470,59,23,309,2025-05-13
471,65,21,328,2025-01-06
472,14,18,115,2024-09-11
473,149,45,132,2025-05-14
474,62,47,308,2024-11-28
475,138,41,426,2025-04-02
476,33,22,261,2024-05-21
477,41,14,425,2024-08-23
478,141,38,16,2025-03-11
479,183,45,131,2024-10-17
480,161,19,450,2025-04-12
481,147,21,114,2024-10-19
482,194,2,47,2025-03-25
483,105,34,26,2024-09-04
484,26,13,418,2024-05-22
485,191,10,478,2024-07-08
486,123,49,88,2024-10-01
487,49,20,246,2025-01-08
488,153,4,11,2025-03-03
489,104,44,313,2024-09-14
490,149,45,435,2025-01-30
491,172,46,328,2025-03-18
492,6,39,195,2025-03-10
493,20,39,257,2024-07-28
494,194,2,425,2025-02-27
495,169,32,390,2025-04-13
496,66,10,416,2024-05-21
497,111,36,285,2024-06-25
498,121,30,251,2024-06-23
499,136,44,55,2024-10-12
500,86,24,274,2025-02-18
501,97,9,379,2024-08-26
502,200,1,125,2024-12-27
503,59,23,58,2025-03-30
504,70,11,298,2024-08-01
505,89,47,326,2025-01-30
506,134,23,254,2024-06-10
507,16,34,61,2025-01-01
508,163,50,318,2024-11-06
509,100,45,100,2025-02-20
510,48,45,307,2025-03-14
511,144,37,432,2024-10-24
512,81,42,148,2024-10-06
513,89,47,195,2024-10-19
514,85,14,310,2025-04-26
515,112,27,421,2024-09-26
516,138,41,157,2024-10-11
517,14,18,313,2024-06-30
518,39,3,318,2025-02-21
519,59,23,33,2024-12-21
520,54,40,410,2024-08-26
521,95,27,292,2025-03-19
522,141,38,431,2024-07-04
523,129,43,102,2025-03-25
524,25,34,499,2025-01-27
525,191,10,17,2025-03-03
526,98,31,181,2024-06-11
527,79,22,238,2024-06-09
528,16,34,34,2025-03-29
529,36,3,498,2024-06-07
530,156,22,468,2024-09-23
531,115,31,372,2024-08-15
532,157,39,123,2024-12-03
533,13,49,236,2025-03-27
534,30,10,371,2025-01-11
535,197,30,41,2025-05-14
536,140,13,410,2024-06-27
537,72,46,66,2025-01-15
538,139,32,215,2024-08-24
539,110,6,366,2025-03-24
540,25,34,216,2024-11-14
541,47,37,289,2025-03-26
542,22,34,44,2025-04-13
543,2,42,428,2025-03-12
544,160,45,210,2024-12-07
545,160,45,454,2024-07-22
546,194,2,318,2024-11-07
547,145,21,209,2024-11-29
548,171,11,177,2025-05-09
549,104,44,131,2025-03-30
550,9,48,67,2024-05-28
551,69,6,36,2024-08-05
552,71,32,436,2024-10-08
553,132,26,349,2024-07-14
554,92,37,315,2025-03-14
555,76,33,110,2025-02-10
556,134,23,488,2024-11-13
557,184,8,88,2024-11-08
558,152,10,270,2025-05-07
559,112,27,53,2025-02-02
560,191,10,210,2024-08-27
561,93,13,358,2024-05-22
562,75,18,296,2024-11-30
563,129,43,400,2024-09-26
564,59,23,419,2025-01-14
565,132,26,86,2025-05-18
566,14,18,131,2025-03-19
567,175,7,481,2025-01-02
568,156,22,461,2025-03-03
569,149,45,266,2025-01-27
570,123,49,60,2025-03-03
571,161,19,305,2024-11-29
572,103,5,20,2025-04-25
573,136,44,432,2024-12-19
574,63,15,180,2025-03-14
575,3,23,71,2024-08-14
576,62,47,330,2025-03-07
577,137,1,255,2024-08-13
578,125,24,62,2024-10-19
579,114,9,476,2024-12-10
580,175,7,237,2024-10-13
581,195,16,71,2025-04-13
582,110,6,40,2025-04-18
583,77,38,70,2025-02-28
584,31,11,313,2024-09-16
585,165,22,227,2024-06-19
586,91,28,293,2024-07-15
587,42,12,122,2024-10-23
588,108,26,44,2024-08-23
589,66,10,286,2025-02-11
590,47,37,380,2024-08-21
591,79,22,405,2025-01-14
592,107,31,263,2024-09-14
593,3,23,332,2024-09-16
594,192,28,228,2025-02-03
595,142,50,45,2024-06-17
596,3,23,365,2024-11-03
597,127,2,139,2024-09-06
598,60,31,241,2025-01-02
599,153,4,328,2025-04-04
600,160,45,365,2025-04-05
601,76,33,65,2024-06-11
602,41,14,69,2024-10-24
603,23,14,431,2024-09-08
604,115,31,117,2024-10-11
605,105,34,192,2024-11-24
606,158,18,188,2024-08-31
607,163,50,111,2024-08-10
608,113,17,43,2024-06-29
609,71,32,154,2024-10-04
610,146,32,445,2025-02-06
611,95,27,212,2024-12-01
612,7,44,279,2024-11-23
613,143,34,100,2024-12-23
614,174,40,354,2024-08-12
615,34,47,147,2025-05-19
616,31,11,219,2025-03-12
617,81,42,317,2024-08-06
618,135,16,98,2025-02-13
619,74,6,33,2024-12-06
620,87,37,426,2024-11-08
621,53,31,239,2025-03-01
622,63,15,107,2024-12-08
623,35,38,254,2024-12-10
624,23,14,245,2024-09-09
625,28,6,435,2024-09-03
626,87,37,120,2024-06-23
627,60,31,13,2024-09-25
628,131,42,186,2024-06-25
629,102,24,321,2025-01-21
630,183,45,383,2024-10-01
631,104,44,19,2024-12-28
632,167,21,455,2024-12-13
633,91,28,114,2025-05-03
634,40,3,31,2024-06-25
635,22,34,169,2024-07-07
636,141,38,174,2025-03-06
637,180,31,323,2025-03-22
638,16,34,420,2025-01-03
639,16,34,316,2024-08-15
640,173,36,399,2024-07-03
641,197,30,272,2024-10-29
642,116,26,100,2025-04-23
643,5,5,53,2025-05-15
644,161,19,329,2024-06-16
645,53,31,40,2024-08-31
646,143,34,200,2025-03-08
647,100,45,266,2024-06-01
648,42,12,389,2025-05-02
649,177,22,181,2024-06-15
650,90,6,359,2024-07-15
651,94,31,83,2024-11-13
652,88,9,438,2024-10-03
653,16,34,27,2025-03-05
654,66,10,468,2025-05-14
655,60,31,234,2025-02-18
656,46,22,411,2025-02-04
657,44,22,332,2025-03-09
658,175,7,397,2024-06-14
659,159,43,312,2024-07-28
660,93,13,107,2024-10-21
661,124,20,327,2024-06-27
662,83,31,98,2024-12-07
663,91,28,98,2024-11-25
664,174,40,102,2024-10-26
665,177,22,216,2024-10-07
666,44,22,22,2024-12-23
667,94,31,454,2024-12-30
668,198,6,300,2024-05-29
669,138,41,395,2025-01-28
670,174,40,466,2024-08-26
671,147,21,253,2024-12-01
672,164,50,232,2024-11-29
673,50,7,343,2025-03-08
674,119,10,302,2024-08-08
675,3,23,356,2025-01-31
676,169,32,240,2025-05-17
677,109,45,119,2024-07-20
678,112,27,243,2024-08-12
679,193,22,236,2024-07-17
680,39,3,498,2025-05-01
681,15,37,106,2024-10-30
682,116,26,340,2025-02-28
683,65,21,390,2025-01-15
684,7,44,344,2025-02-21
685,132,26,303,2024-06-02
686,50,7,173,2024-12-15
687,103,5,73,2024-05-25
688,166,17,333,2025-02-03
689,82,22,12,2025-01-04
690,98,31,415,2024-06-04
691,50,7,460,2025-04-24
692,53,31,423,2024-12-09
693,172,46,243,2025-04-04
694,161,19,74,2024-12-13
695,171,11,401,2025-01-08
696,59,23,124,2024-06-15
697,176,47,302,2025-02-15
698,39,3,82,2025-03-30
699,171,11,357,2024-07-15
700,67,33,211,2024-07-01
701,112,27,105,2024-10-31
702,57,38,177,2025-04-23
703,2,42,46,2025-02-14
704,59,23,134,2025-04-20
705,151,36,374,2024-06-14
706,188,34,389,2024-07-23
707,76,33,87,2024-08-14
708,9,48,286,2024-10-21
709,116,26,164,2025-04-12
710,16,34,295,2024-08-09
711,71,32,51,2024-06-27
712,41,14,399,2025-02-16
713,127,2,97,2025-04-26
714,184,8,314,2024-11-30
715,62,47,173,2024-12-07
716,88,9,417,2024-10-04
717,82,22,328,2024-10-19
718,164,50,184,2024-10-27
719,127,2,273,2024-06-23
720,78,50,356,2025-01-15
721,50,7,199,2025-02-02
722,59,23,265,2025-03-29
723,45,23,312,2025-01-23
724,158,18,425,2025-01-20
725,50,7,377,2025-03-20
726,2,42,12,2024-09-20
727,35,38,222,2024-12-14
728,195,16,286,2024-09-09
729,88,9,185,2025-05-10
730,106,15,263,2024-11-02
731,79,22,44,2024-11-04
732,178,4,384,2025-04-07
733,161,19,103,2025-01-25
734,158,18,417,2024-07-05
735,12,19,362,2024-09-18
736,137,1,62,2024-07-25
737,11,15,331,2025-02-02
738,160,45,360,2025-01-01
739,58,9,213,2025-02-06
740,180,31,49,2025-02-13
741,156,22,25,2025-01-20
742,16,34,405,2024-07-17
743,104,44,70,2024-12-30
744,186,49,242,2024-10-28
745,157,39,297,2025-04-13
746,107,31,148,2024-06-24
747,110,6,55,2024-10-30
748,174,40,388,2024-12-26
749,121,30,391,2025-05-15
750,184,8,63,2024-06-27
751,26,13,356,2025-01-10
752,97,9,147,2024-08-16
753,131,42,16,2025-01-28
754,183,45,333,2025-01-20
755,121,30,389,2024-05-24
756,27,15,400,2024-08-22
757,59,23,228,2025-01-05
758,107,31,290,2024-11-12
759,191,10,263,2025-04-05
760,159,43,498,2024-10-23
761,53,31,227,2024-06-27
762,160,45,90,2024-12-22
763,170,26,69,2024-09-16
764,30,10,437,2025-05-07
765,163,50,466,2025-03-07
766,168,46,87,2024-12-31
767,100,45,75,2025-03-15
768,84,42,29,2024-08-22
769,91,28,287,2024-07-22
770,176,47,455,2024-07-19
771,15,37,293,2025-02-13
772,129,43,229,2024-08-20
773,159,43,178,2024-09-05
774,40,3,290,2024-05-25
775,131,42,188,2024-10-30
776,147,21,92,2025-03-31
777,179,38,465,2025-01-20
778,42,12,273,2025-02-17
779,58,9,159,2024-06-16
780,57,38,337,2024-08-09
781,66,10,41,2024-09-30
782,155,34,272,2025-01-03
783,140,13,366,2025-01-22
784,57,38,138,2025-03-24
785,190,34,356,2025-05-18
786,102,24,445,2025-04-15
787,122,22,139,2025-01-06
788,149,45,406,2025-03-28
789,123,49,286,2025-01-09
790,90,6,447,2025-03-01
791,120,21,485,2024-07-22
792,175,7,77,2024-09-23
793,43,43,365,2024-09-17
794,124,20,399,2024-08-20
795,46,22,345,2024-07-28
796,50,7,476,2024-08-08
797,43,43,107,2024-11-29
798,136,44,386,2024-06-16
799,24,40,31,2025-03-28
800,151,36,392,2025-01-09
801,135,16,106,2024-10-25
802,29,5,154,2024-12-28
803,13,49,148,2025-03-07
804,170,26,112,2024-06-23
805,97,9,158,2025-01-29
806,58,9,151,2024-09-14
807,170,26,161,2024-09-05
808,136,44,464,2025-04-14
809,40,3,34,2024-09-23
810,8,25,75,2024-07-07
811,64,1,193,2025-05-13
812,1,19,282,2024-07-18
813,27,15,496,2025-03-08
814,177,22,182,2024-09-15
815,189,38,45,2024-11-07
816,99,24,473,2025-05-15
817,15,37,316,2025-02-25
818,198,6,170,2025-04-15
819,75,18,429,2025-05-20
820,189,38,303,2024-10-01
821,77,38,444,2024-09-28
822,124,20,51,2025-05-12
823,165,22,275,2025-02-12
824,137,1,334,2024-07-17
825,165,22,493,2025-04-17
826,168,46,402,2024-10-17
827,89,47,120,2024-10-11
828,175,7,223,2025-01-30
829,165,22,286,2024-08-17
830,126,28,182,2024-10-23
831,59,23,414,2025-02-04
832,63,15,430,2025-04-08
833,25,34,278,2025-02-16
834,6,39,72,2025-05-16
835,66,10,83,2024-08-16
836,140,13,474,2025-04-16
837,119,10,304,2025-01-11
838,55,39,17,2025-01-26
839,70,11,171,2024-08-22
840,28,6,40,2024-12-25
841,80,46,274,2024-05-21
842,85,14,405,2024-09-20
843,46,22,61,2024-07-17
844,186,49,393,2025-05-02
845,56,33,53,2024-08-26
846,139,32,341,2024-08-18
847,15,37,267,2025-04-21
848,121,30,476,2024-08-26
849,20,39,65,2024-09-22
850,64,1,370,2025-04-28
851,80,46,221,2025-04-15
852,161,19,285,2024-12-06
853,166,17,478,2025-04-12
854,162,21,397,2024-05-30
855,36,3,70,2025-02-05
856,28,6,10,2024-12-10
857,21,36,358,2024-08-30
858,97,9,116,2025-04-20
859,76,33,412,2024-10-27
860,152,10,55,2024-05-31
861,156,22,50,2025-02-04
862,139,32,286,2024-07-12
863,117,11,39,2025-05-11
864,74,6,100,2024-11-05
865,12,19,425,2024-12-31
866,106,15,462,2025-05-09
867,135,16,340,2025-02-19
868,89,47,64,2024-11-08
869,173,36,145,2024-05-24
870,15,37,343,2024-08-18
871,168,46,374,2024-11-18
872,48,45,469,2025-01-22
873,172,46,476,2024-10-01
874,171,11,90,2024-06-25
875,27,15,82,2025-04-30
876,167,21,305,2024-11-03
877,159,43,382,2024-10-15
878,50,7,226,2025-02-02
879,113,17,350,2024-11-04
880,36,3,314,2025-02-14
881,33,22,161,2024-08-16
882,79,22,441,2024-06-20
883,154,48,430,2024-07-10
884,63,15,157,2025-02-25
885,51,2,246,2025-01-12
886,90,6,495,2024-10-21
887,196,30,437,2024-07-28
888,118,30,324,2024-08-02
889,41,14,187,2024-07-04
890,79,22,387,2024-10-19
891,102,24,441,2025-03-17
892,70,11,77,2024-05-23
893,45,23,43,2025-05-04
894,82,22,203,2025-04-12
895,41,14,465,2024-10-27
896,141,38,446,2024-10-25
897,194,2,307,2024-07-30
898,20,39,440,2025-05-03
899,149,45,286,2024-09-04
900,175,7,364,2024-05-24
901,29,5,475,2025-05-06
902,128,18,411,2025-01-31
903,103,5,415,2024-05-30
904,123,49,72,2025-01-21
905,176,47,376,2025-05-05
906,130,26,29,2024-12-29
907,21,36,216,2025-02-24
908,167,21,385,2024-12-01
909,147,21,216,2025-01-21
910,197,30,75,2024-06-08
911,131,42,368,2024-10-10
912,108,26,347,2024-10-27
913,170,26,107,2025-01-23
914,116,26,349,2025-02-02
915,170,26,145,2024-12-09
916,63,15,312,2025-05-10
917,94,31,70,2025-05-03
918,19,26,424,2025-04-03
919,78,50,391,2025-03-30
920,77,38,293,2025-01-18
921,182,2,32,2025-02-04
922,83,31,225,2024-12-28
923,105,34,317,2024-10-28
924,187,26,320,2025-05-10
925,128,18,480,2024-08-11
926,179,38,461,2024-09-03
927,119,10,261,2024-07-22
928,84,42,255,2024-12-28
929,54,40,430,2024-06-06
